terminal_code
Flint Hills-PHX
SilverE-Evstn-UT
HFC-Grand Jct-Rack
HFC-Grand Junct
Suncor-GrandJ
Chv-LV-B-unev
TSO-LV-km
XOM-LV-U
HFC-PHX-km
Sunoco-PHX
TSO-PHX-cj
TSO-PHX-km
SilverE-SLC
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 212/31/2020 23:59 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
Valero-Sparks
• SLC-TSO-U-UT-305666
HFC-Tucson-hep
TSO-Tucson
HFC-LV-unev • LV-HFC-Unev-AZ-200003 812/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-AZ-topt-200 019912/31/2020 23:59 1.7728 1.7778 0.0230 3.0130 3.4030 • LV-HFC-Unev-NV-200003 712/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-UT-58409
Valero-Sparks-ct
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-AZ-topt-200 019901/01/2021 00:00 1.7728 1.7778 1.4080 2.0880 2.4880 • LV-HFC-Unev-NV-200003 701/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-UT-58409
IA-LV
Alon-PHX • PHX-Alon-caljet-23002
IA-PHX
• PHX-Alon-km-76

IA-Reno
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/05/2021 23:59 1.5881 1.5931 • SLC-TSO-UCT-UT-31840 201/06/2021 00:00 1.5881 1.5931 9.0045 9.0045 1.6192 1.6242 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/05/2021 23:59 1.5881 1.5931 • SLC-TSO-UCT-UT-31840 201/06/2021 14:30 1.5881 1.5931 9.0045 9.0045 1.6192 1.6242 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/06/2021 23:59 1.6151 1.6201 • SLC-TSO-UCT-UT-31840 201/06/2021 23:59 1.6151 1.6201 9.0045 9.0045 1.6612 1.6662 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/06/2021 23:59 1.7518 1.7568 1.5400 2.2200 2.6200 • LV-HFC-Unev-AZ-topt-200 019901/06/2021 23:59 1.7518 1.7568 1.5430 2.2230 2.6230 • LV-HFC-Unev-NV-200003 701/06/2021 23:59 1.7518 1.7568 1.5400 2.2200 2.6200 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/06/2021 23:59 1.6151 1.6201 • SLC-TSO-UCT-UT-31840 201/07/2021 00:00 1.6151 1.6201 9.0045 9.0045 1.6612 1.6662 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/06/2021 23:59 1.6151 1.6201 • SLC-TSO-UCT-UT-31840 201/07/2021 11:00 1.6151 1.6201 9.0045 9.0045 1.6612 1.6662 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/07/2021 23:59 1.6279 1.6329 • SLC-TSO-UCT-UT-31840 201/07/2021 23:59 1.6279 1.6329 9.0045 9.0045 1.6696 1.6746 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/07/2021 23:59 1.7588 1.7638 1.5400 2.2200 2.6200 • LV-HFC-Unev-AZ-topt-200 019901/07/2021 23:59 1.7588 1.7638 1.5430 2.2230 2.6230 • LV-HFC-Unev-NV-200003 701/07/2021 23:59 1.7588 1.7638 1.5400 2.2200 2.6200 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/08/2021 23:59 1.6377 1.6427 • SLC-TSO-UCT-UT-31840 201/08/2021 23:59 1.6377 1.6427 9.0045 9.0045 1.6846 1.6896 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/08/2021 23:59 1.7674 1.7724 1.5800 2.2600 2.6600 • LV-HFC-Unev-AZ-topt-200 019901/08/2021 23:59 1.7674 1.7724 1.5830 2.2630 2.6630 • LV-HFC-Unev-NV-200003 701/08/2021 23:59 1.7674 1.7724 1.5800 2.2600 2.6600 • LV-HFC-Unev-UT-58409
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 601/08/2021 23:59 1.6377 1.6427 • SLC-TSO-UCT-UT-31840 201/09/2021 00:00 1.6377 1.6427 9.0045 9.0045 1.6846 1.6896 TSO-SLC-ub • SLC-TSO-U-NV-306135
