terminal_code
Flint Hills-PHX
SilverE-Evstn-UT
HFC-Grand Jct-Rack
HFC-Grand Junct
Suncor-GrandJ
Chv-LV-B-unev
TSO-LV-km
XOM-LV-U
HFC-PHX-km
Sunoco-PHX
TSO-PHX-cj
TSO-PHX-km
SilverE-SLC
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 212/31/2020 23:59 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
Valero-Sparks
• SLC-TSO-U-UT-305666
HFC-Tucson-hep
TSO-Tucson
HFC-LV-unev • LV-HFC-Unev-AZ-200003 812/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-AZ-topt-200 019912/31/2020 23:59 1.7728 1.7778 0.0230 3.0130 3.4030 • LV-HFC-Unev-NV-200003 712/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-UT-58409
Valero-Sparks-ct
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-AZ-topt-200 019901/01/2021 00:00 1.7728 1.7778 1.4080 2.0880 2.4880 • LV-HFC-Unev-NV-200003 701/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-UT-58409
IA-LV
Alon-PHX • PHX-Alon-caljet-23002
IA-PHX
• PHX-Alon-km-76

IA-Reno
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/16/2022 00:00 3.3880 3.3930 2.9200 2.7750 2.9850 • LV-HFC-Unev-AZ-topt-200 019902/16/2022 00:00 3.3880 3.3930 2.9230 2.7780 2.9880 • LV-HFC-Unev-NV-200003 702/16/2022 00:00 3.3880 3.3930 2.9200 2.7750 2.9850 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/15/2022 18:00 3.3880 2.9230 2.7780 2.9880 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/16/2022 00:00 3.3880 2.9230 2.7780 2.9880 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/16/2022 08:00 3.3880 3.3930 2.9200 2.7750 2.9850 • LV-HFC-Unev-AZ-topt-200 019902/16/2022 08:00 3.3880 3.3930 2.9230 2.7780 2.9880 • LV-HFC-Unev-NV-200003 702/16/2022 08:00 3.3880 3.3930 2.9200 2.7750 2.9850 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/16/2022 08:00 3.3880 2.9230 2.7780 2.9880 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/16/2022 18:00 3.3880 3.3930 2.9500 2.8050 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/16/2022 18:00 3.3880 3.3930 2.9530 2.8080 3.0180 • LV-HFC-Unev-NV-200003 702/16/2022 18:00 3.3880 3.3930 2.9500 2.8050 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/16/2022 18:00 3.3880 2.9530 2.8080 3.0180 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/16/2022 23:59 3.0995 3.1045 • SLC-TSO-UCT-UT-31840 202/16/2022 23:59 3.0995 3.1045 3.1490 3.1540 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/16/2022 23:59 3.4651 3.4701 • LV-TSO-ct-dsl-pro-34283102/16/2022 23:59 2.8701 2.8751 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/17/2022 00:00 3.3880 3.3930 2.9500 2.8050 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/17/2022 00:00 3.3880 3.3930 2.9530 2.8080 3.0180 • LV-HFC-Unev-NV-200003 702/17/2022 00:00 3.3880 3.3930 2.9500 2.8050 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/17/2022 00:00 3.3880 2.9530 2.8080 3.0180 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/17/2022 00:01 3.3880 3.3930 2.9200 2.8050 2.9850 • LV-HFC-Unev-AZ-topt-200 019902/17/2022 00:01 3.3880 3.3930 2.9230 2.8080 2.9880 • LV-HFC-Unev-NV-200003 702/17/2022 00:01 3.3880 3.3930 2.9200 2.8050 2.9850 • LV-HFC-Unev-UT-58409
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/17/2022 00:01 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/17/2022 00:01 3.3880 3.3930 2.9530 2.8180 3.0180 • LV-HFC-Unev-NV-200003 702/17/2022 00:01 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/17/2022 00:01 3.3880 2.9230 2.8080 2.9880 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/17/2022 23:59 3.0817 3.0867 • SLC-TSO-UCT-UT-31840 202/17/2022 23:59 3.0817 3.0867 3.1312 3.1362 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/17/2022 23:59 3.4245 3.4295 • LV-TSO-ct-dsl-pro-34283102/17/2022 23:59 2.8295 2.8345 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/18/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/18/2022 00:00 3.3880 3.3930 2.9530 2.8180 3.0180 • LV-HFC-Unev-NV-200003 702/18/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/17/2022 00:01 3.3880 2.9530 2.8180 3.0180 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/18/2022 00:00 3.3880 2.9530 2.8180 3.0180 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/18/2022 00:01 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/18/2022 00:01 3.3880 3.3930 2.9530 2.8180 3.0180 • LV-HFC-Unev-NV-200003 702/18/2022 00:01 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/18/2022 00:01 3.3880 2.9530 2.8180 3.0180 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/18/2022 23:59 3.0694 3.0744 • SLC-TSO-UCT-UT-31840 202/18/2022 23:59 3.0694 3.0744 3.1189 3.1239 TSO-SLC-ub • SLC-TSO-U-NV-306135
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/18/2022 23:59 3.4245 3.4295 • LV-TSO-ct-dsl-pro-34283102/18/2022 23:59 2.8295 2.8345 • LV-TSO-pro-ct-333945
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/18/2022 23:59 3.4358 3.4408 • LV-TSO-ct-dsl-pro-34283102/18/2022 23:59 2.8408 2.8458 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/19/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/19/2022 00:00 3.3880 3.3930 2.9530 2.8180 3.0180 • LV-HFC-Unev-NV-200003 702/19/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/19/2022 00:00 3.3880 2.9530 2.8180 3.0180 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/20/2022 00:00 3.3880 2.9530 2.8180 3.0180 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/21/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-AZ-topt-200 019902/21/2022 00:00 3.3880 3.3930 2.9530 2.8180 3.0180 • LV-HFC-Unev-NV-200003 702/21/2022 00:00 3.3880 3.3930 2.9500 2.8150 3.0150 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/21/2022 23:59 3.3880 2.9530 2.8180 2.1410 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/21/2022 23:59 3.0495 3.0545 • SLC-TSO-UCT-UT-31840 202/21/2022 23:59 3.0495 3.0545 3.0990 3.1040 3.0934 3.0984 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/21/2022 23:59 3.3880 3.3930 2.9500 2.8150 2.1380 • LV-HFC-Unev-AZ-topt-200 019902/21/2022 23:59 3.3880 3.3930 2.9530 2.8180 2.1410 • LV-HFC-Unev-NV-200003 702/21/2022 23:59 3.3880 3.3930 2.9500 2.8150 2.1380 • LV-HFC-Unev-UT-58409
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/21/2022 23:59 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-AZ-topt-200 019902/21/2022 23:59 3.3880 3.3930 2.9530 3.0630 3.2630 • LV-HFC-Unev-NV-200003 702/21/2022 23:59 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/21/2022 23:59 3.4358 3.4408 • LV-TSO-ct-dsl-pro-34283102/21/2022 23:59 2.8408 2.8458 • LV-TSO-pro-ct-333945
• LV-HFC-Unev-UT-topt-200 020002/21/2022 23:59 3.3880 2.9530 3.0630 3.2630 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/22/2022 23:59 3.0395 3.0445 • SLC-TSO-UCT-UT-31840 202/22/2022 23:59 3.0395 3.0445 3.0890 3.0940 3.0820 3.0870 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/22/2022 23:59 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-AZ-topt-200 019902/22/2022 23:59 3.3880 3.3930 2.9530 3.0630 3.2630 • LV-HFC-Unev-NV-200003 702/22/2022 23:59 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/22/2022 23:59 3.4930 3.4980 • LV-TSO-ct-dsl-pro-34283102/22/2022 23:59 2.8980 2.9030 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/23/2022 00:00 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-AZ-topt-200 019902/23/2022 00:00 3.3880 3.3930 2.9530 3.0630 3.2630 • LV-HFC-Unev-NV-200003 702/23/2022 00:00 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/22/2022 23:59 3.3880 2.9530 3.0630 3.2630 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/23/2022 00:00 3.3880 2.9530 3.0630 3.2630 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/23/2022 00:01 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-AZ-topt-200 019902/23/2022 00:01 3.3880 3.3930 2.9530 3.0630 3.2630 • LV-HFC-Unev-NV-200003 702/23/2022 00:01 3.3880 3.3930 2.9500 3.0600 3.2600 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/23/2022 00:01 3.3880 2.9530 3.0630 3.2630 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/23/2022 23:59 3.0411 3.0461 • SLC-TSO-UCT-UT-31840 202/23/2022 23:59 3.0411 3.0461 3.0906 3.0956 3.0848 3.0898 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/23/2022 23:59 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-AZ-topt-200 019902/23/2022 23:59 3.3880 3.3930 3.0330 3.1430 3.2903 • LV-HFC-Unev-NV-200003 702/23/2022 23:59 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/23/2022 23:59 3.4984 3.5034 • LV-TSO-ct-dsl-pro-34283102/23/2022 23:59 2.9034 2.9084 • LV-TSO-pro-ct-333945
• LV-HFC-Unev-UT-topt-200 020002/23/2022 23:59 3.3880 3.0330 3.1430 3.2903 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/23/2022 23:59 3.3880 3.0330 3.1430 3.2903 IA-LV • LV-Idemitsu-AZ-45062
• LV-Idemitsu-Main-33506202/23/2022 18:00 3.0950 3.1085 3.2500 3.3500 3.4500 • LV-Idemitsu-NV-5062
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/24/2022 00:00 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-AZ-topt-200 019902/24/2022 00:00 3.3880 3.3930 3.0330 3.1430 3.2903 • LV-HFC-Unev-NV-200003 702/24/2022 00:00 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-UT-58409
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/24/2022 00:01 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-AZ-topt-200 019902/24/2022 00:01 3.3880 3.3930 3.0330 3.1430 3.2903 • LV-HFC-Unev-NV-200003 702/24/2022 00:01 3.3880 3.3930 3.0300 3.1400 3.2873 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/24/2022 00:01 3.3880 3.0330 3.1430 3.2903 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/24/2022 23:59 3.0408 3.0458 • SLC-TSO-UCT-UT-31840 202/24/2022 23:59 3.0408 3.0458 3.0903 3.0953 3.0828 3.0878 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/24/2022 23:59 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-AZ-topt-200 019902/24/2022 23:59 3.3880 3.3930 3.0830 3.1930 3.3818 • LV-HFC-Unev-NV-200003 702/24/2022 23:59 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/24/2022 23:59 3.5597 3.5647 • LV-TSO-ct-dsl-pro-34283102/24/2022 23:59 2.9647 2.9697 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/25/2022 00:00 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-AZ-topt-200 019902/25/2022 00:00 3.3880 3.3930 3.0830 3.1930 3.3818 • LV-HFC-Unev-NV-200003 702/25/2022 00:00 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/24/2022 23:59 3.3880 3.0830 3.1930 3.3818 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/25/2022 00:00 3.3880 3.0830 3.1930 3.3818 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/25/2022 00:01 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-AZ-topt-200 019902/25/2022 00:01 3.3880 3.3930 3.0830 3.1930 3.3818 • LV-HFC-Unev-NV-200003 702/25/2022 00:01 3.3880 3.3930 3.0800 3.1900 3.3788 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/25/2022 00:01 3.3880 3.0830 3.1930 3.3818 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/25/2022 23:59 3.0624 3.0674 • SLC-TSO-UCT-UT-31840 202/25/2022 23:59 3.0624 3.0674 3.1119 3.1169 3.1001 3.1051 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/25/2022 23:59 3.3880 3.3930 3.1299 3.2400 3.3838 • LV-HFC-Unev-AZ-topt-200 019902/25/2022 23:59 3.3880 3.3930 3.1329 3.2430 3.3868 • LV-HFC-Unev-NV-200003 702/25/2022 23:59 3.3880 3.3930 3.1299 3.2400 3.3838 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/25/2022 23:59 3.5158 3.5208 • LV-TSO-ct-dsl-pro-34283102/25/2022 23:59 2.9208 2.9258 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/26/2022 00:00 3.3880 3.3930 3.1299 3.2400 3.3838 • LV-HFC-Unev-AZ-topt-200 019902/26/2022 00:00 3.3880 3.3930 3.1329 3.2430 3.3868 • LV-HFC-Unev-NV-200003 702/26/2022 00:00 3.3880 3.3930 3.1299 3.2400 3.3838 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/25/2022 23:59 3.3880 3.1329 3.2430 3.3868 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/26/2022 00:00 3.3880 3.1329 3.2430 3.3868 IA-LV
• LV-HFC-Unev-UT-topt-200 020002/26/2022 23:59 3.3880 3.1630 3.2730 3.4268 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/26/2022 23:59 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-AZ-topt-200 019902/26/2022 23:59 3.3880 3.3930 3.1630 3.2730 3.4268 • LV-HFC-Unev-NV-200003 702/26/2022 23:59 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-UT-58409
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/27/2022 00:00 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-AZ-topt-200 019902/27/2022 00:00 3.3880 3.3930 3.1630 3.2730 3.4268 • LV-HFC-Unev-NV-200003 702/27/2022 00:00 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/27/2022 00:00 3.3880 3.1630 3.2730 3.4268 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/28/2022 09:00 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-AZ-topt-200 019902/28/2022 09:00 3.3880 3.3930 3.1630 3.2730 3.4268 • LV-HFC-Unev-NV-200003 702/28/2022 09:00 3.3880 3.3930 3.1600 3.2700 3.4238 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/28/2022 09:00 3.3880 3.1630 3.2730 3.4268 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 602/28/2022 23:59 3.0985 3.1035 • SLC-TSO-UCT-UT-31840 202/28/2022 23:59 3.0985 3.1035 3.1480 3.1530 3.1364 3.1414 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 802/28/2022 23:59 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-AZ-topt-200 019902/28/2022 23:59 3.3880 3.3930 3.1588 3.2730 3.4110 • LV-HFC-Unev-NV-200003 702/28/2022 23:59 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283102/28/2022 23:59 3.6363 3.6413 • LV-TSO-ct-dsl-pro-34283102/28/2022 23:59 3.0413 3.0463 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/01/2022 00:00 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-AZ-topt-200 019903/01/2022 00:00 3.3880 3.3930 3.1588 3.2730 3.4110 • LV-HFC-Unev-NV-200003 703/01/2022 00:00 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020002/28/2022 23:59 3.3880 3.1588 3.2730 3.4110 IA-LV
• LV-HFC-Unev-UT-topt-200 020003/01/2022 00:00 3.3880 3.1588 3.2730 3.4110 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/01/2022 00:01 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-AZ-topt-200 019903/01/2022 00:01 3.3880 3.3930 3.1588 3.2730 3.4110 • LV-HFC-Unev-NV-200003 703/01/2022 00:01 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/01/2022 00:01 3.3880 3.1588 3.2730 3.4110 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/01/2022 10:30 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-AZ-topt-200 019903/01/2022 10:30 3.3880 3.3930 3.1588 3.2730 3.4110 • LV-HFC-Unev-NV-200003 703/01/2022 10:30 3.3880 3.3930 3.1558 3.2700 3.4080 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/01/2022 10:30 3.3880 3.1588 3.2730 3.4110 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 603/01/2022 23:59 3.1245 3.1295 • SLC-TSO-UCT-UT-31840 203/01/2022 23:59 3.1245 3.1295 3.1740 3.1790 3.1730 3.1780 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/01/2022 23:59 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-AZ-topt-200 019903/01/2022 23:59 3.3880 3.3930 3.1645 3.2991 3.4167 • LV-HFC-Unev-NV-200003 703/01/2022 23:59 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283103/01/2022 23:59 3.8511 3.8561 • LV-TSO-ct-dsl-pro-34283103/01/2022 23:59 3.2561 3.2611 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/02/2022 00:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-AZ-topt-200 019903/02/2022 00:00 3.3880 3.3930 3.1645 3.2991 3.4167 • LV-HFC-Unev-NV-200003 703/02/2022 00:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/01/2022 23:59 3.3880 3.1645 3.2991 3.4167 IA-LV
• LV-HFC-Unev-UT-topt-200 020003/02/2022 00:00 3.3880 3.1645 3.2991 3.4167 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/02/2022 00:01 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-AZ-topt-200 019903/02/2022 00:01 3.3880 3.3930 3.1645 3.2991 3.4167 • LV-HFC-Unev-NV-200003 703/02/2022 00:01 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/02/2022 00:01 3.3880 3.1645 3.2991 3.4167 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/02/2022 11:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-AZ-topt-200 019903/02/2022 11:00 3.3880 3.3930 3.1645 3.2991 3.4167 • LV-HFC-Unev-NV-200003 703/02/2022 11:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/02/2022 11:00 3.3880 3.1645 3.2991 3.4167 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/02/2022 13:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-AZ-topt-200 019903/02/2022 13:00 3.3880 3.3930 3.1645 3.2991 3.4167 • LV-HFC-Unev-NV-200003 703/02/2022 13:00 3.3880 3.3930 3.1615 3.2961 3.4137 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/02/2022 13:00 3.3880 3.1645 3.2991 3.4167 IA-LV
• LV-HFC-Unev-UT-topt-200 020003/02/2022 23:59 3.8499 3.7560 3.8901 4.0082 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 603/02/2022 23:59 3.2258 3.2308 • SLC-TSO-UCT-UT-31840 203/02/2022 23:59 3.2258 3.2308 3.2753 3.2803 3.2670 3.2720 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/02/2022 23:59 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-AZ-topt-200 019903/02/2022 23:59 3.8499 3.8549 3.7560 3.8901 4.0082 • LV-HFC-Unev-NV-200003 703/02/2022 23:59 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-UT-58409
TSO-LV-ct-dsl • LV-TSO-ct-dsl-km-34283103/02/2022 23:59 4.1947 4.1997 • LV-TSO-ct-dsl-pro-34283103/02/2022 23:59 3.5997 3.6047 • LV-TSO-pro-ct-333945
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/03/2022 08:00 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-AZ-topt-200 019903/03/2022 08:00 3.8499 3.8549 3.7560 3.8901 4.0082 • LV-HFC-Unev-NV-200003 703/03/2022 08:00 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/03/2022 08:00 3.8499 3.7560 3.8901 4.0082 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/03/2022 10:30 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-AZ-topt-200 019903/03/2022 10:30 3.8499 3.8549 3.7560 3.8901 4.0082 • LV-HFC-Unev-NV-200003 703/03/2022 10:30 3.8499 3.8549 3.7530 3.8871 4.0052 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/03/2022 10:30 3.8499 3.7560 3.8901 4.0082 IA-LV
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 603/03/2022 23:59 3.4607 3.4657 • SLC-TSO-UCT-UT-31840 203/03/2022 23:59 3.4607 3.4657 3.5102 3.5152 3.5112 3.5162 TSO-SLC-ub • SLC-TSO-U-NV-306135
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/04/2022 00:00 4.3261 4.3311 4.0863 4.0202 4.1414 • LV-HFC-Unev-AZ-topt-200 019903/04/2022 00:00 4.3261 4.3311 4.0893 4.0232 4.1444 • LV-HFC-Unev-NV-200003 703/04/2022 00:00 4.3261 4.3311 4.0863 4.0202 4.1414 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/04/2022 00:00 4.3261 4.0893 4.0232 4.1444 IA-LV
HFC-LV-unev • LV-HFC-Unev-AZ-200003 803/04/2022 00:01 4.3261 4.3311 4.0863 4.0202 4.1414 • LV-HFC-Unev-AZ-topt-200 019903/04/2022 00:01 4.3261 4.3311 4.0893 4.0232 4.1444 • LV-HFC-Unev-NV-200003 703/04/2022 00:01 4.3261 4.3311 4.0863 4.0202 4.1414 • LV-HFC-Unev-UT-58409
• LV-HFC-Unev-UT-topt-200 020003/04/2022 00:01 4.3261 4.0893 4.0232 4.1444 IA-LV
